Vehicle_ID,Vehicle_Type,Speed,Violation,Plate_Number,Timestamp
5,car,15,Normal,UNKNOWN,2026-06-01 22:34:56
3,car,5,Normal,UNKNOWN,2026-06-01 22:34:59
15,car,5,Normal,UNKNOWN,2026-06-01 22:35:00
17,car,3,Normal,UNKNOWN,2026-06-01 22:35:06
11,car,7,Normal,UNKNOWN,2026-06-01 22:35:10
189,truck,3,Normal,UNKNOWN,2026-06-01 22:35:12
9,car,2,Normal,UNKNOWN,2026-06-01 22:35:12
4,car,3,Normal,UNKNOWN,2026-06-01 22:35:16
7,car,2,Normal,UNKNOWN,2026-06-01 22:35:24
12,car,5,Normal,UNKNOWN,2026-06-01 22:35:26
111,car,2,Normal,UNKNOWN,2026-06-01 22:35:31
22,car,3,Normal,UNKNOWN,2026-06-01 22:35:33
514,car,2,Normal,UNKNOWN,2026-06-01 22:35:39
10,car,2,Normal,UNKNOWN,2026-06-01 22:35:45
456,car,2,Normal,UNKNOWN,2026-06-01 22:35:48
678,car,5,Normal,UNKNOWN,2026-06-01 22:35:56
14,car,3,Normal,UNKNOWN,2026-06-01 22:35:59
811,car,7,Normal,UNKNOWN,2026-06-01 22:36:03
16,truck,5,Normal,UNKNOWN,2026-06-01 22:36:11
110,car,2,Normal,UNKNOWN,2026-06-01 22:36:12
360,car,7,Normal,UNKNOWN,2026-06-01 22:36:19
463,car,5,Normal,UNKNOWN,2026-06-01 22:36:21
1082,truck,10,Normal,UNKNOWN,2026-06-01 22:36:22
166,car,5,Normal,UNKNOWN,2026-06-01 22:36:24
1528,car,5,Normal,UNKNOWN,2026-06-01 22:36:30
907,car,3,Normal,UNKNOWN,2026-06-01 22:36:31
250,truck,7,Normal,UNKNOWN,2026-06-01 22:36:33
1083,car,5,Normal,UNKNOWN,2026-06-01 22:36:36
1530,car,7,Normal,UNKNOWN,2026-06-01 22:36:37
